n_pieces,runtime_seconds,sheets_used,utilization
50,0.0012344470000016372,2,0.8092
100,0.002303124999997408,4,0.867275
250,0.007349823999998506,9,0.9582111111111111
500,0.017496388999997947,20,0.91173
1000,0.03717284900000095,38,0.9676842105263158
2000,0.12071175499999853,76,0.9633907894736842
